userID,productID,rating
0,896,38,3
1,8,10,1
2,993,10,3
3,364,47,2
4,491,26,3
5,871,17,2
6,419,34,2
7,864,0,1
8,666,27,3
9,387,33,1
10,781,29,3
11,509,34,3
12,450,0,1
13,367,38,2
14,135,5,1
15,534,6,1
16,968,20,3
17,199,9,2
18,431,44,3
19,116,24,3
20,556,40,1
21,682,8,2
22,998,43,2
23,995,41,2
24,389,41,1
25,143,4,3
26,447,2,1
27,589,37,2
28,263,22,1
29,890,9,2
30,757,10,1
31,798,26,2
32,241,8,2
33,793,39,2
34,796,12,1
35,687,13,2
36,549,27,2
37,369,23,3
38,589,48,3
39,55,34,1
40,593,21,1
41,521,24,3
42,706,19,2
43,752,13,1
44,468,35,3
45,601,15,3
46,930,17,2
47,650,9,1
48,360,36,1
49,726,6,3
50,674,48,3
51,476,19,3
52,191,13,2
53,569,38,2
54,465,14,3
55,760,40,3
56,642,1,2
57,261,26,2
58,797,43,3
59,696,30,2
60,9,4,2
61,591,31,1
62,541,4,3
63,201,19,1
64,913,49,3
65,739,31,3
66,320,48,2
67,380,21,2
68,92,35,1
69,101,30,1
70,407,34,1
71,194,34,3
72,43,0,2
73,475,33,3
74,229,27,3
75,155,17,3
76,447,28,1
77,300,1,2
78,649,9,1
79,253,34,3
80,805,42,3
81,56,16,3
82,961,28,1
83,649,37,1
84,499,16,2
85,54,43,1
86,745,46,1
87,93,2,1
88,535,9,1
89,96,41,1
90,971,39,3
91,741,28,2
92,230,40,2
93,622,9,1
94,227,3,2
95,259,8,1
96,35,5,3
97,58,34,3
98,156,28,1
99,247,43,2
100,205,17,3
101,213,28,2
102,543,31,1
103,977,0,2
104,393,26,1
105,523,18,3
106,31,9,3
107,727,35,2
108,158,31,3
109,898,34,1
110,507,25,3
111,88,11,2
112,977,47,2
113,531,19,2
114,870,28,2
115,96,30,1
116,630,7,3
117,893,33,3
118,140,36,3
119,186,15,2
120,982,11,1
121,584,23,1
122,14,16,3
123,112,45,3
124,90,32,1
125,963,49,1
126,565,36,2
127,801,48,2
128,849,38,3
129,914,5,1
130,984,21,1
131,760,47,2
132,602,26,1
133,704,11,3
134,269,15,3
135,222,2,2
136,577,18,1
137,448,45,2
138,702,16,1
139,407,15,3
140,197,24,1
141,337,37,2
142,918,8,3
143,869,21,1
144,902,44,3
145,98,1,1
146,499,38,2
147,136,46,2
148,981,47,3
149,552,25,3
150,778,29,2
151,596,1,2
152,596,7,3
153,653,25,3
154,436,10,3
155,766,36,2
156,392,13,2
157,375,31,2
158,377,13,2
159,299,42,3
160,638,49,2
161,644,33,3
162,120,38,3
163,231,31,2
164,479,29,3
165,130,18,2
166,13,45,3
167,232,39,2
168,140,8,3
169,808,14,1
170,92,25,1
171,832,8,1
172,957,4,3
173,834,43,3
174,132,3,3
175,192,2,3
176,741,42,3
177,39,43,1
178,844,46,2
179,405,33,1
180,676,9,2
181,431,24,3
182,908,18,2
183,774,40,3
184,228,18,1
185,208,40,2
186,276,48,2
187,648,20,2
188,746,11,2
189,48,3,1
190,555,4,2
191,933,44,2
192,185,11,1
193,82,10,3
194,753,33,2
195,806,22,1
196,333,10,2
197,765,4,3
198,400,37,2
199,643,29,2
200,571,47,2
201,282,9,3
202,443,14,3
203,366,42,2
204,968,34,2
205,875,46,1
206,432,41,1
207,463,8,2
208,972,27,3
209,325,18,2
210,615,29,3
211,360,0,1
212,715,40,2
213,114,29,2
214,212,29,3
215,541,23,2
216,956,3,1
217,67,15,1
218,966,41,2
219,946,5,2
220,106,25,2
221,23,21,3
222,780,26,2
223,496,22,1
224,795,27,2
225,969,32,1
226,144,43,2
227,88,30,1
228,312,27,2
229,554,14,2
230,151,45,3
231,484,25,2
232,456,9,3
233,555,0,1
234,875,23,2
235,255,13,1
236,803,11,1
237,54,14,3
238,549,22,3
239,92,18,3
240,652,41,2
241,732,48,2
242,635,2,1
243,249,5,3
244,818,18,1
245,600,6,3
246,345,46,3
247,858,34,2
248,963,5,3
249,768,41,2
250,400,25,3
251,218,33,2
252,942,17,2
253,653,48,2
254,56,34,3
255,133,11,3
256,695,10,2
257,24,30,2
258,911,34,3
259,932,25,1
260,715,3,3
261,931,13,1
262,32,47,3
263,349,46,2
264,485,31,3
265,243,25,2
266,124,29,2
267,388,24,2
268,952,22,2
269,898,22,1
270,671,1,1
271,472,45,1
272,141,39,1
273,769,32,3
274,512,21,1
275,450,39,3
276,167,38,3
277,385,8,3
278,158,41,3
279,826,7,1
280,31,32,3
281,128,48,3
282,571,26,3
283,742,16,3
284,304,32,2
285,941,27,3
286,148,0,3
287,377,32,2
288,798,39,1
289,115,29,3
290,700,3,2
291,513,32,2
292,776,27,2
293,848,30,3
294,64,5,1
295,31,35,3
296,699,20,3
297,963,24,3
298,163,43,3
299,981,35,3
300,661,30,1
301,796,15,2
302,841,33,2
303,661,1,1
304,736,41,2
305,353,12,1
306,529,38,2
307,286,30,3
308,119,27,1
309,37,20,2
310,536,3,2
311,797,47,3
312,666,47,2
313,889,25,2
314,174,24,1
315,956,46,2
316,297,30,1
317,998,4,3
318,996,10,1
319,157,34,1
320,473,37,1
321,993,21,1
322,109,7,2
323,436,18,1
324,694,43,2
325,615,44,3
326,899,2,1
327,494,8,2
328,233,2,1
329,220,3,2
330,455,3,2
331,93,45,1
332,508,6,2
333,38,21,3
334,255,40,2
335,329,27,3
336,377,1,1
337,497,41,3
338,132,42,1
339,572,10,2
340,766,15,2
341,728,43,2
342,357,12,3
343,448,21,3
344,944,6,1
345,536,27,2
346,349,11,1
347,478,45,2
348,859,29,3
349,189,18,3
350,399,21,3
352,360,13,1
353,820,48,2
354,104,14,2
355,90,14,1
356,718,7,1
357,233,7,3
358,299,14,3
359,785,10,2
360,600,3,3
361,799,7,1
362,729,30,2
363,872,4,3
364,611,16,2
365,918,44,2
366,963,16,3
367,381,29,3
368,952,34,3
369,738,35,3
370,260,25,1
371,883,2,2
372,995,36,1
373,894,1,2
374,39,11,2
375,390,28,3
376,683,22,3
377,199,37,1
378,733,27,1
379,759,27,1
380,781,28,2
381,187,14,1
382,923,14,2
383,525,2,3
385,489,22,2
386,155,48,3
387,210,29,2
388,44,41,1
389,715,21,2
390,1,46,2
391,146,27,2
392,388,1,1
393,782,40,1
394,264,4,3
395,882,23,3
396,58,39,3
397,930,43,2
398,594,39,1
399,91,44,1
400,391,41,3
401,466,45,2
402,999,39,1
403,666,7,2
404,579,40,2
405,142,43,2
406,545,47,2
407,162,37,3
408,779,11,3
409,120,42,3
410,978,22,2
411,514,44,2
412,37,39,3
413,47,36,3
414,693,24,1
415,397,7,3
416,366,44,1
417,741,41,2
418,808,48,2
419,898,26,3
420,430,34,3
421,744,47,2
422,661,25,3
423,975,16,1
425,206,30,3
426,674,3,2
427,338,27,2
428,755,38,1
429,557,7,1
430,537,27,3
431,941,22,2
432,651,19,2
433,302,45,3
434,603,34,1
435,398,45,1
436,555,33,2
437,360,14,2
438,163,24,2
439,757,41,3
440,588,30,1
441,840,37,3
442,36,4,1
443,824,46,1
444,435,26,2
445,15,29,2
446,312,21,1
447,870,45,3
448,898,20,3
449,255,7,1
450,881,40,1
451,108,32,2
452,883,35,3
453,444,38,2
454,906,7,1
455,7,7,2
456,808,31,2
457,593,17,3
458,73,45,2
459,911,6,1
460,704,21,2
461,655,33,1
462,943,41,2
464,431,49,3
465,584,25,2
466,451,1,2
467,530,16,2
468,670,44,2
469,571,31,2
470,846,26,3
471,962,24,1
472,394,36,2
473,730,35,2
474,188,21,3
